generation,fitness_mean,fitness_max,apples_mean,apples_max
0,-1.0315333333333334,-0.40299999999999997,0.0,0.0
1,-1.0528888888888888,-0.6433333333333331,0.0,0.0
2,-0.998,-0.27966666666666656,0.0,0.0
3,-0.9790666666666664,-0.27833333333333327,0.0,0.0
4,-0.8897555555555551,-0.27833333333333327,0.0,0.0
5,-0.943511111111111,-0.6433333333333331,0.0,0.0
6,-0.872255555555555,-0.05433333333332588,0.0,0.0
7,-0.8876555555555555,-0.6433333333333331,0.0,0.0
8,-0.9510111111111107,0.0800000000000001,0.00266666666666667,0.0800000000000001
9,-0.9212555555555554,0.00766666666666678,0.0002555555555555593,0.00766666666666678
10,-0.950755555555555,-0.6433333333333331,0.0,0.0
11,-0.8951333333333331,-0.27799999999999986,0.0,0.0
12,-0.912333333333333,-0.27899999999999986,0.0,0.0
13,-0.955044444444444,-0.27966666666666656,0.0,0.0
14,-0.9435555555555551,-0.27899999999999986,0.0,0.0
15,-0.9156444444444441,0.08566666666666677,0.0028555555555555587,0.08566666666666677
16,-0.9560444444444443,-0.6439999999999999,0.0,0.0
17,-0.9737555555555549,-0.6433333333333331,0.0,0.0
18,-0.8320999999999997,0.02400000000000012,0.0008000000000000039,0.02400000000000012
19,-0.8438111111111107,-0.2789999999999999,0.0,0.0
20,-0.7928888888888885,0.4493333333333339,0.014977777777777796,0.4493333333333339
21,-0.9156777777777776,-0.28333333333333327,0.0,0.0
22,-0.9536333333333329,-0.6433333333333331,0.0,0.0
23,-0.9561999999999995,-0.6439999999999999,0.0,0.0
24,-0.9270666666666664,0.08766666666666677,0.002922222222222226,0.08766666666666677
25,-0.8662444444444442,-0.2863333333333333,0.0,0.0
26,-0.8413777777777774,-0.27999999999999986,0.0,0.0
27,-0.8692666666666664,0.08866666666666685,0.0029555555555555615,0.08866666666666685
28,-0.8206777777777774,0.08700000000000033,0.0056777777777778,0.08700000000000033
29,-0.7808222222222218,0.807666666666667,0.03205555555555558,0.807666666666667
0,-1.0792666666666666,-0.7126666666666667,0.0,0.0
1,-0.9933777777777776,-0.3429999999999999,0.0,0.0
2,-0.8915222222222223,-0.28399999999999986,0.0,0.0
3,-0.8464222222222221,0.01200000000000008,0.0004000000000000027,0.01200000000000008
4,-0.841111111111111,0.0850000000000001,0.004866666666666673,0.0850000000000001
5,-0.8320555555555557,0.0840000000000001,0.0055111111111111185,0.0840000000000001
6,-0.723311111111111,0.4536666666666668,0.029755555555555566,0.4536666666666668
